objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Ticket to Ride Map Collection: Volume 4 – Nederland","147938","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73936207","6.57746","7.36549","2.1139","0","8208","thing","Ticket to Ride Map Collection: Volume 4 – Nederland","2","5","60","60","30","2013","3,4,5","4,5","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Ticket to Ride Map Collection: Volume 5 – United Kingdom & Pennsylvania","182078","8","","0","1","0","0","0","0","0","0","0","3","","","","","","73936197","7.31068","7.99142","2.2879","0","13235","thing","Ticket to Ride Map Collection: Volume 5 – United Kingdom & Pennsylvania","2","5","75","75","30","2015","2,3,4,5","4","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Ticket to Ride Map Collection: Volume 6 – France & Old West","233891","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73936210","6.49242","7.62731","2.1333","0","5442","thing","Ticket to Ride Map Collection: Volume 6 – France & Old West","2","6","90","90","60","2017","3,4,5,6","4,5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Ticket to Ride: Alvin & Dexter","89848","6","","0","1","0","0","0","0","0","0","0","3","","","","","","73936203","5.97061","6.50637","1.5571","0","6804","thing","Ticket to Ride: Alvin & Dexter","2","5","50","50","30","2011","3,4,5","4,5","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Ticket to Ride: Europe","14996","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73936188","7.41474","7.53597","1.9248","143","101033","thing","Ticket to Ride: Europe","2","5","60","60","30","2005","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: First Journey (U.S.)","205125","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73936200","6.19854","6.90577","1.4359","1873","5970","thing","Ticket to Ride: First Journey (U.S.)","2","4","30","30","15","2016","2,3,4","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: Nordic Countries","31627","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73936190","7.3368","7.6286","1.981","178","20080","thing","Ticket to Ride: Nordic Countries","2","3","60","60","30","2007","2,3","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: Rails & Sails","202670","8","","0","1","0","0","0","0","0","0","0","3","","","","","","73936192","6.72414","7.41644","2.5316","745","8645","thing","Ticket to Ride: Rails & Sails","2","5","120","120","60","2016","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"TRAILS","338628","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","85613495","6.29756","7.14766","1.8302","1574","5954","thing","TRAILS","2","4","40","40","20","2021","2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","20","USD","20","USD","","Target","1","","","","","","",""
"Trivial Pursuit: Deluxe","33624","6","","0","1","0","0","0","0","0","0","0","3","","","","","","73956249","5.5265","5.88996","2.2727","14258","392","thing","Trivial Pursuit: Deluxe","2","36","120","120","120","2007","4,5,6,7,8,9,10,11,12","6","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Tsuro","16992","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","73956310","6.54459","6.66718","1.2273","1044","38085","thing","Tsuro","2","8","20","20","15","2005","2,3,4,5,6,7,8","4,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"UNO","2223","6","","0","1","0","0","0","0","0","0","0","3","","","","","","73936584","5.32096","5.42747","1.1103","23379","48384","thing","UNO","2","10","30","30","30","1971","2,3,4,5,6,7,8","4,5,6","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Viticulture Essential Edition","183394","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","92978761","7.87657","8.02869","2.8873","32","56291","thing","Viticulture Essential Edition","1","6","90","90","45","2015","1,2,3,4,5,6","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","2022-04-08","Jonny Green","","","","","","","",""
"Watergate","274364","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","73936122","7.44188","7.85055","2.25","132","16495","thing","Watergate","2","2","60","60","30","2019","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Witch Hunt","164236","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73956126","5.58284","7.52977","2","8614","388","thing","Witch Hunt","7","22","90","90","30","2016","8,9,10,11,12,13,14,15,16,17,18","10,11,12,13,14","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
